steamId,name,premier_rating,match_kills,match_deaths,match_kd_ratio,match_leetify_rating,match_damage,match_rounds_count,aim,positioning,utility,clutch,opening,ct_leetify,t_leetify,accuracy_enemy_spotted,accuracy_head,counter_strafing_good_shots_ratio,ct_opening_aggression_success_rate,ct_opening_duel_success_percentage,flashbang_hit_foe_avg_duration,flashbang_hit_foe_per_flashbang,flashbang_hit_friend_per_flashbang,flashbang_leading_to_kill,flashbang_thrown,he_foes_damage_avg,he_friends_damage_avg,preaim,reaction_time_ms,spray_accuracy,t_opening_aggression_success_rate,t_opening_duel_success_percentage,traded_deaths_success_percentage,trade_kill_opportunities_per_round,trade_kills_success_percentage,utility_on_death_avg
76561198364317515,funny man,11558,14,16,0.88,-0.0036,1683,24,33.7243,49.6011,49.4662,0.1169,-0.0039,-0.0052,0.0124,28.1845,21.7025,68.8554,26.2978,34.173,2.2589,0.5414,0.5547,7.7629,5.0597,12.3789,0.4333,14.367,632.8226,31.264,36.6108,45.1532,51.846,0.3127,44.8097,414.157
76561197966657075,Toasty,10291,15,19,0.79,-0.0457,1464,30,55.1717,51.1967,57.4476,0.0803,0.0161,-0.0213,-0.023,28.3871,15.2481,83.5126,39.593,48.3284,2.703,0.5625,0.3959,4.7142,7.6169,7.6057,0.3241,9.3159,629.0241,30.0452,38.5874,39.6937,44.6151,0.3057,40.5767,363.54
76561198065252132,Snowblind19,10108,17,15,1.13,0.0143,2286,22,38.9739,49.2022,33.5793,0.0898,0.0143,0.0006,-0.0018,30.9646,12.0656,67.3047,29.7812,45.919,1.4705,0.4074,0.3284,3.6474,0.997,9.747,0.1168,12.9467,604.7675,42.0193,44.0803,52.3249,50.4609,0.2431,37.6227,115.8587
76561199500544809,dragonalilly,11928,10,14,0.71,-0.0493,1272,20,47.2097,34.8268,45.4859,0.1178,-0.0581,-0.0244,-0.0278,35.7507,13.4755,80.6715,18.5744,26.6715,1.8142,0.5153,0.3472,7.3452,4.3522,7.3908,0.9695,12.4926,716.8003,35.082,21.4361,22.5893,52.976,0.3385,35.4208,317.6903
76561198209673099,Defiant,10001,14,15,0.93,-0.007,1583,22,58.7064,48.0061,49.8886,0.1762,-0.0168,-0.0067,0.0099,32.8679,17.8223,80.1807,32.3155,36.9361,2.2086,0.5126,0.2937,5.8075,3.4818,9.5751,0.4452,12.115,630.8531,35.8204,27.2827,39.9612,52.9909,0.3102,43.9449,227.7789
76561199086733505,Fumi,11544,16,18,0.89,-0.0121,1895,24,31.5614,53.1881,55.3511,0.1558,-0.0013,0.0207,0.0077,32.768,14.243,67.321,26.7059,41.3557,2.7086,0.5961,0.6839,4.6048,9.4854,10.8974,0.1709,13.2756,640.2099,31.1565,40.1601,50.8015,45.0004,0.3061,51.4722,285.984
76561199045995578,BANGBANBe,11390,20,14,1.43,0.0282,2172,24,68.4386,67.3645,47.9156,0.1446,0.0372,0.0287,0.0285,35.6853,15.0323,74.6116,58.1575,59.9046,2.4747,0.5488,0.5605,4.9358,8.369,9.111,0.4587,9.9723,580.3119,40.0772,49.0915,56.9244,49.6058,0.2843,44.3114,454.9985
76561198262128226,Chef of Jeffs,11875,11,10,1.1,-0.0186,1214,20,48.4047,52.3922,44.9645,0.0792,0.0004,-0.0322,-0.0056,28.7999,18.1535,80.3943,34.7858,36.4498,2.3283,0.7407,0.5877,6.1691,7.187,4.0451,0.2492,11.106,655.0206,30.2711,38.5366,39.2764,46.436,0.3693,41.1661,304.252
76561198871252347,Ronnoc,11406,17,19,0.89,-0.0031,1835,20,79.103,55.567,58.8704,0.149,0.0049,0.0224,0.0247,36.5978,19.0319,89.6074,38.1167,47.0825,2.6268,0.5986,0.4022,4.574,9.6026,9.7067,0.3172,10.6734,640.1987,37.816,45.1592,49.2752,50.5626,0.2489,47.966,274.9343
76561198241808022,Solemn,11358,18,15,1.2,0.0331,2003,22,55.1717,57.5345,38.5292,0.1739,0.0212,0.0279,0.0161,37.3101,17.8272,65.4228,34.6973,44.0304,2.2238,0.3869,0.5329,1.2575,8.0,4.2298,0.6791,11.6733,589.1945,34.7027,37.5391,49.8727,47.9395,0.359,44.2954,204.9545
