steamId,name,target_rating_system,target_rating,premier_rating,faceit_level,faceit_elo,leetify_rank,wingman_rank,renown_rank,match_kills,match_deaths,match_kd_ratio,match_leetify_rating,match_damage,match_rounds_count,aim,positioning,utility,clutch,opening,ct_leetify,t_leetify,accuracy_enemy_spotted,accuracy_head,counter_strafing_good_shots_ratio,ct_opening_aggression_success_rate,ct_opening_duel_success_percentage,flashbang_hit_foe_avg_duration,flashbang_hit_foe_per_flashbang,flashbang_hit_friend_per_flashbang,flashbang_leading_to_kill,flashbang_thrown,he_foes_damage_avg,he_friends_damage_avg,preaim,reaction_time_ms,spray_accuracy,t_opening_aggression_success_rate,t_opening_duel_success_percentage,traded_deaths_success_percentage,trade_kill_opportunities_per_round,trade_kills_success_percentage,utility_on_death_avg
76561198855200613,hostage1337,faceit,10,,10,2540.0,1.04,13.0,,15,7,2.14,0.086,1771,15,94.2947,56.7495,49.1513,0.1363,0.0183,0.0254,-0.0059,36.6776,30.4143,86.4129,48.7732,55.3207,2.5689,0.3842,0.2152,3.7587,7.4191,3.8947,0.6124,8.2064,595.1857,43.6376,34.1086,37.899,47.5082,0.2638,54.2192,316.5963
76561198323670331,kr661,faceit,10,23995.0,10,2024.0,2.93,,,15,12,1.25,0.0078,1872,20,91.6207,66.6402,53.2714,0.1328,0.0286,0.0281,0.0308,37.4711,22.8665,88.7785,45.6554,55.4061,2.4659,0.4968,0.3543,5.8948,6.3563,7.38,0.3955,8.158,568.7143,39.361,39.5182,48.4791,61.2526,0.3057,51.8988,311.4672
76561198872864383,hugecutiepie,faceit,10,,10,1990.0,0.59,14.0,,18,12,1.5,0.039,1773,19,81.057,50.0,58.3771,0.1285,0.004,0.0114,0.0006,35.9963,21.9662,83.2463,31.9078,47.7368,2.6409,0.5715,0.3103,5.3345,8.8481,7.0364,0.5342,10.3081,584.9331,37.1274,26.2353,36.6936,52.8603,0.305,46.2746,187.2315
76561198865526574,Darwizzy99,faceit,10,22716.0,10,1990.0,2.19,14.0,,8,17,0.47,-0.0823,1224,19,80.785,68.0822,51.3195,0.1086,0.0263,0.0349,0.0081,33.5357,15.2258,84.7204,54.1482,62.7632,2.5303,0.5449,0.4389,5.6659,6.8759,7.5218,1.1846,7.924,547.1839,37.8317,32.997,40.8072,56.4431,0.3929,42.1181,311.3886
76561197960554774,ham,faceit,10,26851.0,10,2002.0,-0.61,,,13,13,1.0,-0.0013,1408,20,79.103,49.2022,65.3089,0.0975,0.0021,-0.0157,0.0031,35.82,24.3281,79.9888,20.2989,25.2353,2.7426,0.7197,0.3918,7.6836,10.8918,7.5821,0.2169,10.631,579.8686,34.8811,38.6525,45.4246,53.0806,0.357,42.7115,212.0383
76561198894710669,Xero666,faceit,10,27710.0,10,2412.0,3.45,15.0,,26,21,1.24,0.0202,2645,29,85.769,68.7933,52.3828,0.1311,0.028,0.0338,0.0351,33.5155,25.4961,85.8,46.8308,60.0817,2.5999,0.4353,0.5255,8.2801,7.1941,10.575,0.7668,8.3363,585.5625,34.4605,43.2697,52.4037,52.7923,0.3524,47.9181,353.9688
76561198078495209,-cLutchh-,faceit,10,22893.0,10,2343.0,1.82,,,18,20,0.9,-0.0095,1917,29,88.1,61.0261,62.0833,0.1007,0.0349,0.0254,0.0116,38.5112,19.0554,83.5706,39.6419,50.3826,2.7469,0.5359,0.4095,8.6865,12.7565,6.8073,0.2587,8.2366,571.9026,41.2509,46.9231,53.9246,51.6595,0.277,48.6011,252.5921
76561198123931388,Marcuzi,faceit,10,23538.0,10,2241.0,-0.7799999999999999,16.0,,15,19,0.79,-0.0123,1771,29,76.7305,57.5345,59.6354,0.0804,-0.0188,-0.0007,-0.0159,34.1962,16.2558,84.6391,32.169,51.8598,2.7163,0.6867,0.5454,6.8936,11.7422,8.1566,0.8516,9.8163,564.06,37.381,26.9895,32.6739,63.4455,0.3652,44.1321,267.4216
76561198189822131,Bitt3r,faceit,10,26531.0,10,1973.0,2.4299999999999997,16.0,,19,24,0.79,-0.0503,2440,29,88.2977,54.3795,60.2032,0.1289,0.0067,0.026,0.0224,36.1599,24.9227,81.3938,38.9203,51.2706,2.8194,0.6285,0.4189,4.5722,15.409,4.663,0.6931,9.1717,526.7308,37.1801,30.7666,39.7139,45.8003,0.3342,46.6811,180.2211
76561198371638859,1PRJKT,faceit,10,25716.0,10,2249.0,1.0999999999999999,,,19,18,1.06,0.0101,1991,29,86.65,59.4835,71.1304,0.1249,-0.0072,0.0086,0.0134,39.2892,20.1103,84.028,42.4313,59.0721,3.0577,0.6766,0.3491,9.0577,9.7916,9.8911,0.3298,8.6838,608.9549,40.4593,27.1902,29.0563,55.7169,0.3415,52.0058,285.3857
76561198044739636,Shorty240,faceit,10,26636.0,10,2656.0,2.39,,,19,12,1.58,0.0255,1895,20,91.3085,61.0261,65.3833,0.1441,0.0116,0.0275,0.0202,36.8722,24.5207,87.7186,31.2733,41.2251,2.5694,0.6591,0.5717,12.6978,7.9551,10.5387,0.0,8.7477,565.0722,39.5149,34.243,41.8673,61.0528,0.36,53.7159,372.5201
76561198365215676,BigNotSmart,faceit,10,,10,2242.0,1.04,,,16,15,1.07,-0.0089,1539,20,77.6373,63.6831,61.4164,0.1025,0.0217,0.0198,0.0016,36.1358,16.2457,86.5245,50.0631,58.8366,2.8624,0.5952,0.437,7.1709,13.8612,7.2888,0.7255,11.7719,579.6938,41.5882,38.0293,44.8117,55.3872,0.3034,46.5065,248.0045
76561198380172894,Reckzie,faceit,10,,10,2469.0,0.98,17.0,,12,17,0.71,-0.0172,1443,20,86.4334,53.1881,64.2423,0.1192,-0.0008,0.0232,-0.0033,37.4575,20.5846,85.1794,28.728,36.8739,2.8278,0.5697,0.3929,7.2733,13.7264,8.5291,0.6302,9.1998,579.959,39.8993,28.8501,43.8224,59.4737,0.3482,43.8735,228.4818
76561198118358503,Augie,faceit,10,25954.0,10,2246.0,1.32,,,22,11,2.0,0.0478,2152,20,78.8145,66.6402,58.5723,0.1191,0.0095,0.0037,0.0233,36.9952,18.2561,80.117,39.7139,53.3555,2.6923,0.6659,0.4647,5.5939,14.4201,7.4168,0.5318,9.8554,594.3506,41.0866,40.7915,42.7641,53.8623,0.4152,45.8382,229.8964
76561198143953335,jo3,faceit,10,23537.0,10,2369.0,3.6700000000000004,16.0,,8,0,8.0,0.1442,695,6,88.1,59.8706,60.174,0.1177,0.0155,0.033,0.0406,39.7343,20.4629,78.3564,41.4968,55.7615,2.7097,0.5729,0.3386,3.2451,7.4613,12.2067,0.4473,7.838,538.6656,37.5158,45.619,50.4308,45.3472,0.2895,47.1917,313.4396
76561198959054667,-M1-,faceit,10,26723.0,10,2835.0,1.48,17.0,,19,9,2.11,0.088,1716,18,75.8036,70.884,67.5095,0.1022,0.0072,0.0159,0.0135,34.9798,19.0008,77.8733,42.252,55.3922,3.0445,0.5744,0.5354,9.0108,16.4221,10.4131,0.2786,8.5158,602.8785,38.2885,44.5015,52.1754,62.6202,0.361,48.1911,255.4424
